Year,Region,Model,Unit_Sold,Price_USD,Revenue,Sales_Classification
2021,Asia,X1,4601,119897,551646097,Low
2011,Middle East,3 Series,6698,55612,372489176,Low
2019,Europe,M5,6056,72188,437170528,Low
2023,Africa,i3,6301,89587,564487687,Low
2013,Asia,M5,8734,46231,403781554,High
2023,Middle East,X1,8644,85801,741663844,High
2024,North America,7 Series,5456,92213,503114128,Low
2024,Africa,7 Series,8472,42013,355934136,High
2017,Asia,i8,5940,50942,302595480,Low
2023,Europe,7 Series,2241,83812,187822692,Low
2016,Africa,7 Series,8663,93993,814261359,High
2021,Africa,X3,8293,30158,250100294,High
2018,Europe,i8,8445,102279,863746155,High
2023,North America,i3,190,36081,6855390,Low
2017,Middle East,7 Series,7462,93431,697182122,High
2014,Middle East,M3,8339,40950,341482050,High
2022,South America,i8,4055,66212,268489660,Low
2011,Europe,5 Series,3683,90224,332294992,Low
2024,South America,3 Series,1180,49557,58477260,Low
2014,Europe,X6,9100,100663,916033300,High
2017,South America,X5,6844,83059,568455796,Low
2019,Asia,M5,8882,45389,403145098,High
2018,North America,X6,2914,36520,106419280,Low
2021,Africa,3 Series,4548,40194,182802312,Low
2021,Asia,5 Series,271,82668,22403028,Low
2021,Middle East,X3,2451,107348,263109948,Low
2022,North America,7 Series,4212,52099,219440988,Low
2018,Middle East,X5,3275,117084,383450100,Low
2022,Asia,M3,7337,38811,284756307,High
2024,North America,X6,8345,109733,915721885,High
2022,Asia,X3,2162,53997,116741514,Low
2010,North America,i8,8396,101282,850363672,High
2018,Middle East,5 Series,1299,87345,113461155,Low
2016,Europe,X5,3880,64095,248688600,Low
2018,Europe,X6,5637,117764,663835668,Low
2017,South America,X5,8394,40275,338068350,High
2010,Africa,X6,5935,33796,200579260,Low
2021,South America,7 Series,5908,111071,656207468,Low
2017,South America,X6,3147,39627,124706169,Low
2017,Asia,M5,1732,103316,178943312,Low
2024,South America,i3,719,106619,76659061,Low
2020,South America,i3,1460,36666,53532360,Low
2012,Europe,M5,3235,56202,181813470,Low
2010,South America,M5,7139,108152,772097128,High
2017,North America,i3,2694,102447,275992218,Low
2012,North America,X5,3403,85983,292600149,Low
2012,Africa,i3,8216,99958,821254928,High
2010,Asia,3 Series,8650,86660,749609000,High
2020,North America,3 Series,8070,78509,633567630,High
2014,Middle East,X6,169,84798,14330862,Low
2019,South America,5 Series,6353,88464,562011792,Low
2016,North America,i3,8634,33185,286519290,High
2019,Europe,M5,1684,66606,112164504,Low
2018,Middle East,7 Series,5312,85604,454728448,Low
2021,North America,M3,7059,116198,820241682,High
2016,Africa,X1,9620,119996,1154361520,High
2018,Asia,3 Series,8157,50651,413160207,High
2017,Europe,7 Series,8666,106473,922695018,High
2021,Africa,X1,2600,41920,108992000,Low
2011,Europe,5 Series,9334,103384,964986256,High
2010,Europe,5 Series,1344,34120,45857280,Low
2016,Europe,5 Series,8291,119412,990044892,High
2016,South America,X3,7553,34749,262459197,High
2023,Asia,M5,9645,94884,915156180,High
2017,Europe,3 Series,9474,86684,821244216,High
2014,Middle East,X3,8000,60899,487192000,High
2012,Asia,5 Series,6584,39501,260074584,Low
2021,Europe,7 Series,6249,60731,379508019,Low
2017,Middle East,i8,1697,71690,121657930,Low
2015,Middle East,i3,6072,58894,357604368,Low
2020,South America,3 Series,1142,79774,91101908,Low
2012,North America,7 Series,9856,42764,421481984,High
2010,Africa,i3,7607,45834,348659238,High
2012,North America,X3,8333,116468,970527844,High
2014,Africa,M5,3877,59448,230479896,Low
2024,Africa,3 Series,4956,113482,562416792,Low
2023,South America,X5,5598,86846,486163908,Low
2012,Europe,X1,6791,74494,505888754,Low
2010,Africa,i3,968,101137,97900616,Low
2014,South America,X1,8217,109617,900722889,High
2019,Africa,3 Series,5548,108637,602718076,Low
2016,Asia,M5,148,88181,13050788,Low
2024,South America,3 Series,6447,79650,513503550,Low
2023,South America,X3,6673,51627,344506971,Low
2016,North America,X5,8127,99967,812431809,High
2020,Europe,X6,9970,32120,320236400,High
2018,Asia,i3,9832,91547,900090104,High
2024,Asia,X1,3880,102818,398933840,Low
2024,Middle East,5 Series,9951,49279,490375329,High
2019,Middle East,5 Series,7403,36571,270735113,High
2019,Middle East,i8,8537,96066,820115442,High
2021,Europe,X3,4249,32119,136473631,Low
2022,Middle East,7 Series,271,57691,15634261,Low
2012,South America,3 Series,6974,96429,672495846,Low
2024,Middle East,X1,2922,112644,329145768,Low
2016,Africa,X1,3433,49010,168251330,Low
2010,Asia,X5,6620,39793,263429660,Low
2013,South America,3 Series,1476,101189,149354964,Low
2022,South America,3 Series,4129,107968,445799872,Low
2013,Asia,i3,9128,51327,468512856,High
2023,Asia,3 Series,3507,84635,296814945,Low
2014,Europe,X1,9106,77484,705569304,High
2016,Europe,3 Series,3222,71328,229818816,Low
2016,Africa,X5,9331,72024,672055944,High
2022,Africa,X5,5761,72436,417303796,Low
2024,Middle East,i3,6920,93997,650459240,Low
2020,South America,5 Series,6897,53862,371486214,Low
2022,Africa,X3,5139,105924,544343436,Low
2013,North America,M5,1396,62719,87555724,Low
2022,Europe,X3,491,49919,24510229,Low
2016,Africa,3 Series,6640,71591,475364240,Low
2020,Europe,X5,8960,86328,773498880,High
2012,Middle East,X1,5542,42552,235823184,Low
2015,Europe,3 Series,7342,89156,654583352,High
2021,South America,X1,1057,79927,84482839,Low
2011,South America,M3,7431,39495,293487345,High
2019,Europe,M5,6150,38271,235366650,Low
2022,North America,X3,9536,74435,709812160,High
2023,Asia,X3,5141,103988,534602308,Low
2018,Asia,M3,1659,73953,122688027,Low
2014,South America,X3,4699,106673,501256427,Low
2015,Africa,M3,6588,42738,281557944,Low
2021,Asia,X3,1474,53097,78264978,Low
2021,South America,X6,2428,60936,147952608,Low
2021,Asia,3 Series,5065,87186,441597090,Low
2021,Asia,5 Series,9087,38861,353129907,High
2013,Asia,3 Series,5817,33086,192461262,Low
2023,Asia,X1,3445,89868,309595260,Low
2023,Asia,X5,3372,87087,293657364,Low
2020,North America,i8,7327,70057,513307639,High
2019,Middle East,X3,808,111173,89827784,Low
2016,Middle East,X1,3076,56309,173206484,Low
2021,North America,X1,6636,76909,510368124,Low
2018,Asia,7 Series,3606,58752,211859712,Low
2016,North America,i8,1206,82447,99431082,Low
2023,Asia,X1,7058,80705,569615890,High
2010,South America,i8,9368,92666,868095088,High
2010,Asia,7 Series,2069,65268,135039492,Low
2018,Asia,i8,6121,116846,715214366,Low
2020,South America,X6,9792,114860,1124709120,High
2023,North America,X5,9612,43850,421486200,High
2018,Africa,7 Series,8022,96859,777002898,High
2013,Asia,X6,3205,107293,343874065,Low
2022,North America,M5,249,58700,14616300,Low
2018,Africa,X3,7350,62253,457559550,High
2012,North America,X1,3581,100980,361609380,Low
2016,North America,M5,381,78120,29763720,Low
2015,North America,M5,3880,94839,367975320,Low
2017,North America,3 Series,2815,100678,283408570,Low
2020,Europe,5 Series,9239,38170,352652630,High
2018,Africa,X1,1036,79035,81880260,Low
2023,South America,3 Series,5315,56836,302083340,Low
2014,Africa,M3,2976,33093,98484768,Low
2010,North America,X3,1311,50319,65968209,Low
2012,Africa,X1,5952,108905,648202560,Low
2019,Africa,i8,3778,31212,117918936,Low
2021,South America,3 Series,4298,72641,312211018,Low
2017,Europe,5 Series,8127,82957,674191539,High
2024,Africa,M3,8772,91248,800427456,High
2020,Asia,X3,3430,113110,387967300,Low
2015,Asia,i3,8483,34249,290534267,High
2017,North America,7 Series,6825,77120,526344000,Low
2018,Asia,X1,9134,79969,730436846,High
2013,South America,X1,125,101839,12729875,Low
2010,Africa,X5,5236,105887,554424332,Low
2023,South America,X5,2466,31112,76722192,Low
2010,South America,7 Series,4350,51743,225082050,Low
2019,Europe,X1,7920,102607,812647440,High
2013,Europe,i8,113,113159,12786967,Low
2021,Asia,M3,2275,34852,79288300,Low
2023,Asia,7 Series,1714,96938,166151732,Low
2016,North America,X5,9847,103663,1020769561,High
2011,Asia,3 Series,4182,74108,309919656,Low
2012,Asia,M5,3244,48461,157207484,Low
2010,Middle East,X3,6461,113525,733485025,Low
2014,Europe,M3,9520,111245,1059052400,High
2010,South America,X3,4579,61329,280825491,Low
2017,Africa,X5,7530,68638,516844140,High
2010,North America,X5,9850,116928,1151740800,High
2020,South America,M3,9122,100103,913139566,High
2010,South America,7 Series,1916,35576,68163616,Low
2011,South America,X1,3813,52709,200979417,Low
2011,North America,i3,6205,73410,455509050,Low
2021,South America,M5,6688,40782,272750016,Low
2015,Europe,i3,1402,79002,110760804,Low
2016,Middle East,5 Series,8273,38344,317219912,High
2014,Europe,M3,7577,103056,780855312,High
2010,Europe,M3,9098,60458,550046884,High
2010,Europe,M5,4427,32486,143815522,Low
2012,North America,X5,9311,65633,611108863,High
2023,Africa,3 Series,3182,101460,322845720,Low
2011,Africa,i3,5797,115240,668046280,Low
2014,Africa,X3,577,114845,66265565,Low
2021,Europe,i3,3288,105938,348324144,Low
2019,South America,X3,7041,42383,298418703,High
2015,Africa,i8,5284,43439,229531676,Low
2016,Europe,i8,9454,59627,563713658,High
2013,Asia,5 Series,6935,74501,516664435,Low
2016,Middle East,M3,5058,81786,413673588,Low
2020,South America,3 Series,7793,64007,498806551,High
2017,North America,M3,2353,36497,85877441,Low
2020,Asia,X6,4643,90061,418153223,Low
2010,Africa,X1,1252,49598,62096696,Low
2024,South America,i3,1675,47994,80389950,Low
2015,Asia,M5,6177,52950,327072150,Low
2017,Middle East,M5,4669,96914,452491466,Low
2014,South America,i3,5178,98122,508075716,Low
2013,Asia,M5,8254,70907,585266378,High
2011,South America,M3,6712,96941,650667992,Low
2015,Asia,i8,2845,30074,85560530,Low
2015,North America,M3,4997,88780,443633660,Low
2020,Middle East,3 Series,7286,73453,535178558,High
2024,South America,i3,9124,107658,982271592,High
2010,Europe,X6,5045,61914,312356130,Low
2018,South America,X6,4709,116735,549705115,Low
2021,Europe,i3,1482,111742,165601644,Low
2020,Africa,M5,3134,64700,202769800,Low
2015,Middle East,X3,6856,70672,484527232,Low
2022,Middle East,3 Series,3730,47284,176369320,Low
2012,Europe,M3,8190,93837,768525030,High
2013,Africa,7 Series,9067,74401,674593867,High
2021,South America,3 Series,5726,112265,642829390,Low
2020,Asia,7 Series,3284,71570,235035880,Low
2013,Europe,i8,7254,70118,508635972,High
2012,Middle East,i3,2377,80919,192344463,Low
2019,Asia,M5,1883,49840,93848720,Low
2012,South America,3 Series,520,99478,51728560,Low
2024,Europe,X1,8913,71666,638759058,High
2012,Africa,i3,2353,99512,234151736,Low
2013,South America,X3,6169,55881,344729889,Low
2016,Africa,M5,113,109963,12425819,Low
2013,Europe,X5,2353,79299,186590547,Low
2018,Africa,i3,8132,46141,375218612,High
2010,Europe,X1,1718,101553,174468054,Low
2017,Africa,3 Series,5481,115369,632337489,Low
2016,Europe,X6,7436,89763,667477668,High
2011,Europe,X5,6327,117994,746548038,Low
2017,Asia,i3,5415,99138,536832270,Low
2010,North America,X5,2737,107741,294887117,Low
2020,Europe,X1,4488,39207,175961016,Low
2021,North America,5 Series,1849,52030,96203470,Low
2018,Asia,X5,6300,72271,455307300,Low
2018,Europe,X1,3108,42749,132863892,Low
2011,Africa,M3,2792,80312,224231104,Low
2016,Middle East,i3,3901,89891,350664791,Low
2024,Asia,i3,897,62609,56160273,Low
2023,Europe,i3,3108,54036,167943888,Low
2019,Africa,X6,9003,116494,1048795482,High
2012,Africa,3 Series,9454,116827,1104482458,High
2016,Africa,X6,7064,115705,817340120,High
2021,North America,5 Series,4585,51552,236365920,Low
2019,North America,7 Series,4515,32230,145518450,Low
2018,Asia,i8,9586,92606,887721116,High
2013,Middle East,i8,9597,97301,933797697,High
2021,Africa,i8,9156,102381,937400436,High
2010,South America,5 Series,8440,39129,330248760,High
2011,North America,3 Series,2463,105042,258718446,Low
2010,South America,i8,3398,48463,164677274,Low
2023,South America,X6,8066,94959,765939294,High
2021,Asia,X5,5829,106595,621342255,Low
2014,Middle East,X3,6254,83106,519744924,Low
2014,North America,7 Series,7608,116107,883342056,High
2020,South America,X3,2156,114790,247487240,Low
2016,South America,i8,5098,42409,216201082,Low
2018,Asia,X1,5095,112394,572647430,Low
2018,North America,7 Series,305,40062,12218910,Low
2012,Europe,i8,5960,68714,409535440,Low
2012,Europe,3 Series,3990,78565,313474350,Low
2012,Middle East,5 Series,6844,76420,523018480,Low
2013,Middle East,M3,2781,67269,187075089,Low
2017,Africa,X5,1386,110049,152527914,Low
2015,North America,3 Series,7571,71905,544392755,High
2017,South America,i3,5863,31948,187311124,Low
2010,North America,X6,7163,66518,476468434,High
2017,South America,3 Series,5037,102814,517874118,Low
2013,Middle East,5 Series,8943,69488,621431184,High
2020,Asia,i8,288,34401,9907488,Low
2010,North America,X1,5184,35905,186131520,Low
2017,Europe,X3,8167,70778,578043926,High
2013,South America,X6,2195,60324,132411180,Low
2015,Middle East,X1,3657,58708,214695156,Low
2017,South America,M5,9121,91637,835821077,High
2013,Africa,i8,4751,116643,554170893,Low
2023,Europe,X1,874,53115,46422510,Low
2012,North America,3 Series,9890,82258,813531620,High
2023,South America,7 Series,7301,47128,344081528,High
2018,Europe,X5,4242,37111,157424862,Low
2012,Europe,M5,3324,119792,398188608,Low
2018,Africa,X5,9284,67794,629399496,High
2022,North America,i3,5387,115537,622397819,Low
2011,Africa,X6,3309,81625,270097125,Low
2023,Europe,7 Series,7111,30463,216622393,High
2011,Middle East,M3,1625,101785,165400625,Low
2011,Africa,M5,489,93495,45719055,Low
2015,Asia,i3,7118,91829,653638822,High
2012,Middle East,M5,8924,114903,1025394372,High
2022,South America,X1,642,117363,75347046,Low
2018,Africa,i3,4366,95982,419057412,Low
2013,Asia,M5,1404,81725,114741900,Low
2010,Africa,X5,8358,62344,521071152,High
2013,South America,3 Series,3816,35561,135700776,Low
2010,North America,X1,9680,59157,572639760,High
2023,South America,M3,7109,55419,393973671,High
2014,South America,X3,6211,84387,524127657,Low
2013,South America,X6,1866,36457,68028762,Low
2017,Europe,X5,143,32190,4603170,Low
2017,South America,X5,5802,85852,498113304,Low
2016,Asia,X3,5924,93537,554113188,Low
2012,South America,X6,9184,56075,514992800,High
2010,Asia,i3,4936,33486,165286896,Low
2010,Africa,5 Series,2849,74267,211586683,Low
2021,Asia,5 Series,5903,112462,663863186,Low
2020,South America,i8,4541,62084,281923444,Low
2012,Europe,i3,9131,119952,1095281712,High
2015,Europe,7 Series,3220,33593,108169460,Low
2016,Africa,7 Series,1909,85617,163442853,Low
2015,Asia,X3,6657,45543,303179751,Low
2023,Europe,X6,9966,100512,1001702592,High
2023,South America,X5,2930,94088,275677840,Low
2015,Middle East,i8,9525,39377,375065925,High
2015,Africa,X1,8543,41990,358720570,High
2022,Africa,i8,2452,41946,102851592,Low
2012,Middle East,X3,6148,40370,248194760,Low
2015,Africa,3 Series,8981,58429,524750849,High
2017,North America,X3,241,30284,7298444,Low
2020,Middle East,3 Series,5760,76201,438917760,Low
2020,North America,M3,6726,59712,401622912,Low
2011,North America,X6,8241,85468,704341788,High
2014,Middle East,i8,4321,82911,358258431,Low
2023,Asia,X6,6736,54649,368115664,Low
2010,Africa,5 Series,9841,35915,353439515,High
2021,Middle East,M3,904,54134,48937136,Low
2024,Middle East,M5,4431,84569,374725239,Low
2010,Africa,7 Series,7521,92721,697354641,High
2014,South America,5 Series,4611,87621,404020431,Low
2021,North America,5 Series,6866,76581,525805146,Low
2022,Middle East,3 Series,8095,63248,511992560,High
2012,Middle East,i3,1818,118934,216222012,Low
2013,North America,i3,1054,104651,110302154,Low
2012,South America,3 Series,3307,93319,308605933,Low
2010,Middle East,M3,6000,30946,185676000,Low
2010,Africa,X5,7103,45093,320295579,High
2021,North America,M5,1942,66769,129665398,Low
2021,Europe,5 Series,2018,84946,171421028,Low
2023,South America,5 Series,5122,46751,239458622,Low
2022,Africa,X1,2118,41380,87642840,Low
2023,North America,M3,9240,35130,324601200,High
2014,South America,i3,8800,74147,652493600,High
2015,Europe,i8,3942,71187,280619154,Low
2012,Europe,M3,6344,36190,229589360,Low
2021,South America,M3,634,31385,19898090,Low
2018,South America,5 Series,398,48896,19460608,Low
2014,Asia,X6,7978,111758,891605324,High
2017,Europe,X3,6565,112367,737689355,Low
2022,South America,X3,9374,42468,398095032,High
2010,North America,i8,2613,94124,245946012,Low
2023,South America,7 Series,5453,102861,560901033,Low
2014,Middle East,3 Series,867,76421,66257007,Low
2024,Africa,i8,6665,97980,653036700,Low
2012,Africa,X6,101,53320,5385320,Low
2021,South America,i8,4938,31016,153157008,Low
2010,Africa,X1,5754,32634,187776036,Low
2013,Africa,5 Series,1560,82139,128136840,Low
2024,South America,M5,4545,35232,160129440,Low
2022,Middle East,i8,5532,117586,650485752,Low
2014,Africa,M5,6074,90079,547139846,Low
2016,Africa,3 Series,9417,55483,522483411,High
2010,South America,7 Series,3588,110072,394938336,Low
2012,South America,X3,1251,46723,58450473,Low
2011,Asia,X1,9105,98433,896232465,High
2018,Africa,X5,7876,52655,414710780,High
2019,Asia,X1,7317,58531,428271327,High
2024,Middle East,X6,1983,113647,225362001,Low
2015,Middle East,M5,5817,112693,655535181,Low
2019,Middle East,5 Series,7231,100148,724170188,High
2012,Asia,M5,222,82901,18404022,Low
2017,Europe,i3,7313,67998,497269374,High
2023,Middle East,i3,1786,41659,74402974,Low
2017,North America,7 Series,8514,43238,368128332,High
2011,South America,X6,9968,86385,861085680,High
2024,Europe,X5,8047,113709,915016323,High
2015,South America,i8,5839,80754,471522606,Low
2016,South America,X3,1339,60361,80823379,Low
2011,Middle East,X3,9462,46517,440143854,High
2024,Europe,X3,7270,119117,865980590,High
2020,North America,i8,2879,108815,313278385,Low
2019,South America,3 Series,2165,102968,222925720,Low
2011,Africa,X6,4455,102034,454561470,Low
2019,Europe,X5,2035,84856,172681960,Low
2010,Europe,i3,7510,46702,350732020,High
2017,North America,3 Series,9025,49819,449616475,High
2010,Africa,X1,5113,33141,169449933,Low
2018,Europe,X5,7616,62226,473913216,High
2020,South America,3 Series,6688,117171,783639648,Low
2015,North America,3 Series,9390,54989,516346710,High
2016,North America,5 Series,3539,54748,193753172,Low
2022,Asia,7 Series,7315,51785,378807275,High
2019,Africa,X3,9879,70265,694147935,High
2016,Europe,X6,8533,63605,542741465,High
2019,Africa,M3,335,58185,19491975,Low
2012,Middle East,i8,993,108406,107647158,Low
2011,North America,i8,8143,38071,310012153,High
2018,Europe,7 Series,8340,75628,630737520,High
2017,Africa,M3,6324,100693,636782532,Low
2022,North America,7 Series,7795,89453,697286135,High
2021,Africa,7 Series,9362,82064,768283168,High
2019,North America,i8,9080,96319,874576520,High
2016,Middle East,7 Series,1274,78386,99863764,Low
2018,Africa,7 Series,2167,77426,167782142,Low
2013,Africa,X3,6751,119954,809809454,Low
2022,North America,7 Series,7762,64742,502527404,High
2013,Africa,M5,6440,93884,604612960,Low
2010,North America,7 Series,992,99698,98900416,Low
2017,Africa,X6,1329,82740,109961460,Low
2023,Africa,i8,6006,52193,313471158,Low
2023,North America,X5,3195,36116,115390620,Low
2021,South America,3 Series,2119,51226,108547894,Low
2012,Asia,i3,1342,114851,154130042,Low
2016,South America,X3,1100,105711,116282100,Low
2024,Europe,X6,6496,36319,235928224,Low
2021,Africa,X6,844,32423,27365012,Low
2011,North America,M3,6900,56835,392161500,Low
2011,North America,X6,6145,104447,641826815,Low
2016,Africa,X5,4284,105070,450119880,Low
2024,Middle East,X5,5961,75419,449572659,Low
2015,Asia,X1,1194,84022,100322268,Low
2012,Asia,i3,4050,87697,355172850,Low
2018,Middle East,X5,8038,75390,605984820,High
2019,Middle East,X5,2693,93236,251084548,Low
2024,Africa,X5,2487,72936,181391832,Low
2023,South America,M5,6549,34553,226287597,Low
2022,Asia,3 Series,6372,90267,575181324,Low
2015,Middle East,i8,9537,80247,765315639,High
2019,Middle East,i3,9192,107396,987184032,High
2019,Asia,X5,4646,76124,353672104,Low
2015,North America,3 Series,5377,119970,645078690,Low
2010,North America,X3,7502,62008,465184016,High
2013,Africa,M5,7598,36902,280381396,High
2019,Africa,5 Series,1268,42650,54080200,Low
2015,North America,X1,4441,103531,459781171,Low
2024,Europe,5 Series,8074,46019,371557406,High
2015,Europe,3 Series,3673,83776,307709248,Low
2020,Europe,i8,5816,94038,546925008,Low
2021,Asia,X6,7133,36462,260083446,High
2014,Europe,X3,4747,64069,304135543,Low
2010,North America,X5,2341,60636,141948876,Low
2017,North America,X6,4425,74150,328113750,Low
2014,Africa,5 Series,3292,110517,363821964,Low
2021,Asia,X6,556,45607,25357492,Low
2021,North America,M5,3272,52081,170409032,Low
2021,Europe,X3,348,116500,40542000,Low
2014,Middle East,X5,9888,30135,297974880,High
2016,Europe,i3,2095,116918,244943210,Low
2013,Africa,X1,7193,49663,357225959,High
2015,Africa,M3,8335,59889,499174815,High
2022,Africa,3 Series,8196,101189,829345044,High
2013,Middle East,i8,6734,92250,621211500,Low
2023,Europe,M5,5943,99296,590116128,Low
2024,Europe,X5,5997,66166,396797502,Low
2012,South America,3 Series,5227,92873,485447171,Low
2016,South America,M3,9443,86673,818453139,High
2017,Asia,X3,6010,53093,319088930,Low
2013,Middle East,7 Series,9809,109866,1077675594,High
2022,Africa,7 Series,8999,37051,333421949,High
2011,South America,X1,8538,42968,366860784,High
2021,Europe,7 Series,2659,113426,301599734,Low
2019,South America,3 Series,5921,103473,612663633,Low
2023,Africa,7 Series,4821,60516,291747636,Low
2012,Middle East,X3,1733,58086,100663038,Low
2010,Middle East,X6,7739,68930,533449270,High
2017,North America,i8,563,41756,23508628,Low
2024,North America,i3,8838,42697,377356086,High
2012,Africa,5 Series,2434,35004,85199736,Low
2021,Europe,X6,3739,85638,320200482,Low
2019,Middle East,X6,1678,94664,158846192,Low
2016,North America,i3,9521,108265,1030791065,High
2019,South America,X6,2768,73514,203486752,Low
2014,Middle East,X1,2399,64990,155911010,Low
2019,Middle East,5 Series,9219,108742,1002492498,High
2014,South America,i3,7868,114354,899737272,High
2023,South America,M5,5084,73954,375982136,Low
2016,Middle East,i8,3727,105341,392605907,Low
2024,Africa,3 Series,7491,119038,891713658,High
2018,South America,X3,9606,91730,881158380,High
2021,Africa,M3,6188,109949,680364412,Low
2014,Africa,3 Series,3348,60352,202058496,Low
2010,Africa,5 Series,184,96809,17812856,Low
2019,Asia,X3,9954,36661,364923594,High
2019,North America,X5,3605,88937,320617885,Low
2010,Middle East,X3,5457,115843,632155251,Low
2024,Europe,X3,4711,93151,438834361,Low
2011,Middle East,i3,3251,61625,200342875,Low
2023,North America,7 Series,4886,97853,478109758,Low
2015,Africa,7 Series,1241,42186,52352826,Low
2018,Africa,X3,4847,88307,428024029,Low
2017,Europe,3 Series,9762,79362,774731844,High
2022,North America,X1,2255,55139,124338445,Low
2014,Africa,X3,1244,41969,52209436,Low
2010,Europe,X1,8657,59752,517273064,High
2022,Middle East,M5,784,81354,63781536,Low
2016,North America,M3,6570,119134,782710380,Low
2024,Asia,7 Series,5644,113671,641559124,Low
2014,South America,7 Series,4908,75481,370460748,Low
2015,Middle East,i8,2717,103534,281301878,Low
2022,South America,i3,4643,35945,166892635,Low
2016,North America,M5,2447,45297,110841759,Low
2012,Middle East,X3,2331,83549,194752719,Low
