Model,Category,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM
i3,Electric Hatchback,Electric,Manual,4.6,107985
X1,SUV,Petrol,Automatic,2.7,24141
i3,Electric Hatchback,Electric,Automatic,1.8,112862
X1,SUV,Petrol,Manual,2.1,37975
X3,SUV,Electric,Manual,2.8,75480
X3,SUV,Petrol,Manual,3.5,52217
M3,Performance Sedan,Hybrid,Automatic,3.8,24291
M5,Performance Sedan,Diesel,Manual,2.7,143885
7 Series,Sedan,Petrol,Manual,3.8,93073
7 Series,Sedan,Diesel,Automatic,4.8,64153
X6,SUV-Coupe,Hybrid,Manual,3.8,128477
i8,Hybrid Sports Car,Petrol,Manual,2.1,119491
M5,Performance Sedan,Hybrid,Automatic,3.5,94375
M5,Performance Sedan,Petrol,Manual,3.4,190609
X6,SUV-Coupe,Hybrid,Manual,4.5,94915
i8,Hybrid Sports Car,Diesel,Automatic,2.7,144698
X3,SUV,Hybrid,Manual,3,12922
i8,Hybrid Sports Car,Electric,Manual,3.6,46176
X5,SUV,Hybrid,Automatic,3.3,121271
X3,SUV,Hybrid,Automatic,4,189804
i3,Electric Hatchback,Diesel,Manual,1.6,192509
i3,Electric Hatchback,Electric,Manual,3.5,68161
X6,SUV-Coupe,Electric,Manual,1.9,182027
X5,SUV,Hybrid,Automatic,2.6,120597
i8,Hybrid Sports Car,Hybrid,Automatic,3.8,184765
X5,SUV,Electric,Manual,2.1,161177
X1,SUV,Diesel,Manual,2.6,84621
3 Series,Sedan,Hybrid,Automatic,4,22280
M5,Performance Sedan,Diesel,Manual,3.8,127689
i3,Electric Hatchback,Hybrid,Manual,1.8,73990
M5,Performance Sedan,Diesel,Automatic,3.5,17838
X1,SUV,Diesel,Manual,2,172729
7 Series,Sedan,Electric,Manual,2.4,80659
7 Series,Sedan,Diesel,Automatic,3.1,132686
i8,Hybrid Sports Car,Petrol,Automatic,1.9,146940
7 Series,Sedan,Electric,Manual,5,50602
7 Series,Sedan,Petrol,Automatic,2.1,49521
X3,SUV,Electric,Automatic,4.2,169825
i8,Hybrid Sports Car,Petrol,Automatic,4.4,193467
i3,Electric Hatchback,Electric,Manual,5,190643
7 Series,Sedan,Petrol,Automatic,3,112754
M3,Performance Sedan,Diesel,Manual,4.6,42711
i8,Hybrid Sports Car,Diesel,Automatic,4.9,103105
5 Series,Sedan,Petrol,Automatic,2.1,146963
3 Series,Sedan,Hybrid,Automatic,3.2,144152
X6,SUV-Coupe,Diesel,Automatic,1.7,105592
X5,SUV,Petrol,Manual,3.7,31779
M5,Performance Sedan,Petrol,Manual,3.5,154626
X6,SUV-Coupe,Diesel,Automatic,2.2,162862
3 Series,Sedan,Diesel,Manual,4.3,170208
5 Series,Sedan,Electric,Manual,1.6,140059
X3,SUV,Electric,Automatic,4.3,63050
7 Series,Sedan,Petrol,Automatic,1.6,123623
X5,SUV,Petrol,Manual,3.8,159629
M3,Performance Sedan,Diesel,Manual,1.8,189688
X6,SUV-Coupe,Petrol,Manual,2.4,120004
X3,SUV,Diesel,Manual,4,160878
i8,Hybrid Sports Car,Electric,Automatic,2.5,75457
5 Series,Sedan,Petrol,Automatic,3.3,45371
X5,SUV,Petrol,Automatic,4.7,182118
X6,SUV-Coupe,Hybrid,Manual,1.7,10316
X5,SUV,Petrol,Automatic,4.3,169491
X6,SUV-Coupe,Petrol,Manual,1.7,176650
7 Series,Sedan,Petrol,Automatic,1.9,68969
X6,SUV-Coupe,Hybrid,Manual,1.9,111235
M5,Performance Sedan,Diesel,Manual,5,51891
i3,Electric Hatchback,Hybrid,Automatic,2.1,197241
i3,Electric Hatchback,Hybrid,Automatic,4.6,47754
M5,Performance Sedan,Electric,Manual,5,86899
M5,Performance Sedan,Diesel,Manual,2.8,121393
i3,Electric Hatchback,Hybrid,Manual,3.7,70038
X5,SUV,Petrol,Automatic,4.2,172752
i3,Electric Hatchback,Petrol,Automatic,2.9,93629
3 Series,Sedan,Petrol,Manual,2.1,107572
3 Series,Sedan,Hybrid,Automatic,3,158046
X6,SUV-Coupe,Electric,Automatic,4.2,3374
5 Series,Sedan,Hybrid,Manual,4.2,132625
i3,Electric Hatchback,Petrol,Manual,2.3,91458
M5,Performance Sedan,Hybrid,Automatic,2.1,252
7 Series,Sedan,Electric,Automatic,4.7,38502
M3,Performance Sedan,Diesel,Manual,1.7,54226
X1,SUV,Petrol,Manual,4.1,172950
3 Series,Sedan,Hybrid,Automatic,1.7,19899
7 Series,Sedan,Petrol,Manual,4.4,185687
X1,SUV,Hybrid,Automatic,4.7,190652
5 Series,Sedan,Diesel,Automatic,2.5,116859
5 Series,Sedan,Petrol,Manual,1.8,194101
5 Series,Sedan,Petrol,Manual,3.2,167770
X3,SUV,Diesel,Manual,2.5,143519
M5,Performance Sedan,Electric,Manual,3,130509
3 Series,Sedan,Petrol,Manual,3.8,89365
X3,SUV,Petrol,Manual,2.2,80167
5 Series,Sedan,Diesel,Automatic,2.7,124260
7 Series,Sedan,Diesel,Automatic,4.2,83191
i8,Hybrid Sports Car,Petrol,Manual,3.8,110899
i3,Electric Hatchback,Diesel,Manual,2.6,67021
3 Series,Sedan,Electric,Automatic,3.8,55451
7 Series,Sedan,Hybrid,Automatic,4.2,178603
i3,Electric Hatchback,Petrol,Manual,3.6,91061
X3,SUV,Diesel,Automatic,2.3,121703
M5,Performance Sedan,Petrol,Manual,1.5,88800
3 Series,Sedan,Electric,Manual,4.3,69653
X5,SUV,Diesel,Manual,4.4,183143
X1,SUV,Electric,Manual,3.9,63716
i3,Electric Hatchback,Diesel,Manual,1.8,120482
X1,SUV,Hybrid,Automatic,3.5,148268
3 Series,Sedan,Electric,Manual,4.4,33051
M5,Performance Sedan,Diesel,Automatic,2.9,163812
3 Series,Sedan,Hybrid,Automatic,2.2,69698
X3,SUV,Petrol,Automatic,3.6,156141
X5,SUV,Hybrid,Automatic,4.4,118309
X6,SUV-Coupe,Diesel,Automatic,1.7,64180
i3,Electric Hatchback,Hybrid,Manual,3.6,198246
X1,SUV,Hybrid,Automatic,3.8,198285
5 Series,Sedan,Petrol,Manual,3.6,120789
5 Series,Sedan,Petrol,Automatic,3.8,178723
i8,Hybrid Sports Car,Diesel,Manual,3.7,124371
X3,SUV,Hybrid,Manual,2,126258
7 Series,Sedan,Diesel,Automatic,2.3,126953
3 Series,Sedan,Petrol,Manual,3.7,78678
X1,SUV,Electric,Manual,1.6,190540
X1,SUV,Petrol,Automatic,3.7,70187
X5,SUV,Petrol,Automatic,3.8,35565
3 Series,Sedan,Electric,Automatic,2.3,173100
3 Series,Sedan,Electric,Automatic,3.6,68978
i3,Electric Hatchback,Petrol,Automatic,3.4,115144
3 Series,Sedan,Diesel,Manual,2.4,58991
X1,SUV,Hybrid,Manual,3.1,48040
3 Series,Sedan,Electric,Automatic,4.7,149253
X5,SUV,Electric,Manual,3,146541
X5,SUV,Electric,Automatic,3.7,123227
i3,Electric Hatchback,Diesel,Manual,1.6,17798
5 Series,Sedan,Electric,Manual,1.8,18642
X3,SUV,Petrol,Manual,1.8,10590
M5,Performance Sedan,Petrol,Manual,4.2,31068
X3,SUV,Petrol,Manual,2.7,197678
3 Series,Sedan,Petrol,Automatic,2.3,189931
X5,SUV,Diesel,Manual,4.1,127392
X1,SUV,Electric,Automatic,2.1,180074
3 Series,Sedan,Hybrid,Manual,2.4,191042
X1,SUV,Diesel,Automatic,3,37616
M3,Performance Sedan,Petrol,Automatic,2.7,75468
M5,Performance Sedan,Petrol,Automatic,3.5,46076
X3,SUV,Electric,Manual,2.7,21607
X3,SUV,Petrol,Automatic,2.9,87564
M3,Performance Sedan,Electric,Manual,4.5,66023
X3,SUV,Hybrid,Manual,4.6,195047
M3,Performance Sedan,Diesel,Manual,4.4,152887
X3,SUV,Hybrid,Manual,4.5,122956
X6,SUV-Coupe,Petrol,Automatic,3.5,27659
3 Series,Sedan,Hybrid,Manual,3.8,157700
5 Series,Sedan,Diesel,Automatic,3.5,133836
3 Series,Sedan,Hybrid,Automatic,4.2,10678
X1,SUV,Hybrid,Automatic,3.4,84606
X5,SUV,Electric,Automatic,1.9,34635
i8,Hybrid Sports Car,Electric,Manual,4.3,191305
X3,SUV,Electric,Manual,4.2,17934
X1,SUV,Diesel,Automatic,4.4,157249
X1,SUV,Petrol,Automatic,2.2,184417
7 Series,Sedan,Hybrid,Manual,2.5,31798
i8,Hybrid Sports Car,Hybrid,Manual,2.5,145112
X1,SUV,Petrol,Manual,3.3,66862
i8,Hybrid Sports Car,Hybrid,Automatic,2,49903
7 Series,Sedan,Petrol,Automatic,2.8,28668
i8,Hybrid Sports Car,Petrol,Manual,2.1,61031
X6,SUV-Coupe,Diesel,Automatic,2.4,135437
X5,SUV,Hybrid,Manual,4,83959
7 Series,Sedan,Electric,Manual,4.5,198286
X6,SUV-Coupe,Petrol,Automatic,1.6,74914
M5,Performance Sedan,Petrol,Automatic,3.5,56293
X3,SUV,Hybrid,Automatic,1.6,60574
X1,SUV,Electric,Manual,1.8,80289
M5,Performance Sedan,Electric,Automatic,4,67272
M5,Performance Sedan,Petrol,Manual,4.1,54534
3 Series,Sedan,Petrol,Manual,4.3,86002
5 Series,Sedan,Diesel,Manual,3.2,165669
X1,SUV,Petrol,Automatic,4.5,104441
3 Series,Sedan,Petrol,Automatic,2.1,190846
M3,Performance Sedan,Hybrid,Manual,2.4,180096
X3,SUV,Electric,Manual,2,191879
X1,SUV,Electric,Automatic,4.3,185093
i8,Hybrid Sports Car,Hybrid,Manual,2.3,187214
3 Series,Sedan,Electric,Automatic,2,162323
5 Series,Sedan,Electric,Manual,3.7,69712
M3,Performance Sedan,Hybrid,Manual,1.8,2655
X3,SUV,Hybrid,Manual,1.7,66746
i3,Electric Hatchback,Diesel,Manual,1.9,90245
7 Series,Sedan,Hybrid,Manual,1.5,7334
X1,SUV,Hybrid,Manual,3.9,13275
X1,SUV,Hybrid,Manual,3.5,128136
X5,SUV,Diesel,Automatic,2.2,187108
X5,SUV,Diesel,Manual,2.3,162977
7 Series,Sedan,Petrol,Manual,4.3,52940
X1,SUV,Hybrid,Automatic,3.3,106294
i8,Hybrid Sports Car,Diesel,Manual,3.9,106314
M3,Performance Sedan,Diesel,Automatic,3.1,139850
7 Series,Sedan,Diesel,Automatic,2.3,52061
X5,SUV,Petrol,Manual,4.9,88027
3 Series,Sedan,Diesel,Automatic,3.5,196822
M5,Performance Sedan,Electric,Automatic,2,65212
X3,SUV,Diesel,Automatic,2.9,35130
M3,Performance Sedan,Hybrid,Automatic,2.7,129742
X3,SUV,Electric,Automatic,2.2,73482
X5,SUV,Petrol,Automatic,4.8,32268
X5,SUV,Diesel,Manual,4.6,53211
M3,Performance Sedan,Petrol,Manual,2.2,154481
7 Series,Sedan,Hybrid,Manual,2.7,147526
X1,SUV,Diesel,Manual,4.2,183658
i3,Electric Hatchback,Electric,Automatic,2.2,131725
M5,Performance Sedan,Electric,Manual,3.6,50949
i3,Electric Hatchback,Electric,Manual,3.9,20717
5 Series,Sedan,Petrol,Manual,3.8,135036
M3,Performance Sedan,Petrol,Manual,4,29746
M3,Performance Sedan,Hybrid,Manual,4,87426
M5,Performance Sedan,Diesel,Manual,4.9,28560
X5,SUV,Diesel,Manual,2.7,68627
3 Series,Sedan,Petrol,Manual,4.6,95366
i3,Electric Hatchback,Diesel,Manual,1.6,97680
X3,SUV,Diesel,Manual,2.5,198457
i3,Electric Hatchback,Hybrid,Automatic,1.7,129001
X3,SUV,Electric,Manual,3.8,171481
i8,Hybrid Sports Car,Diesel,Manual,1.9,60913
i8,Hybrid Sports Car,Petrol,Manual,4.5,191604
5 Series,Sedan,Hybrid,Automatic,3.8,45722
M3,Performance Sedan,Electric,Manual,1.6,38412
3 Series,Sedan,Diesel,Manual,4,175591
M3,Performance Sedan,Petrol,Manual,4.5,164356
X6,SUV-Coupe,Hybrid,Automatic,3.8,45712
X1,SUV,Diesel,Automatic,1.6,100516
i3,Electric Hatchback,Hybrid,Automatic,4.5,57231
M5,Performance Sedan,Petrol,Automatic,4.1,95889
M5,Performance Sedan,Diesel,Automatic,2.8,55643
i3,Electric Hatchback,Diesel,Automatic,2.7,22417
M5,Performance Sedan,Diesel,Automatic,3.2,193534
M3,Performance Sedan,Petrol,Manual,4.5,137855
i8,Hybrid Sports Car,Hybrid,Automatic,2.4,6365
M3,Performance Sedan,Electric,Automatic,1.9,167647
3 Series,Sedan,Petrol,Manual,4.5,105037
i3,Electric Hatchback,Hybrid,Manual,1.6,128016
X6,SUV-Coupe,Hybrid,Manual,4.7,7762
X6,SUV-Coupe,Diesel,Manual,2.6,40764
i3,Electric Hatchback,Hybrid,Automatic,3.3,24238
M5,Performance Sedan,Petrol,Automatic,2,195911
X3,SUV,Diesel,Automatic,4.7,134039
3 Series,Sedan,Petrol,Automatic,4.1,116572
M3,Performance Sedan,Diesel,Manual,4.7,194359
7 Series,Sedan,Diesel,Manual,3.9,143864
3 Series,Sedan,Hybrid,Automatic,2.1,37246
7 Series,Sedan,Petrol,Automatic,2.6,188234
i8,Hybrid Sports Car,Hybrid,Automatic,3.2,110079
i3,Electric Hatchback,Petrol,Automatic,3.6,53579
M5,Performance Sedan,Hybrid,Automatic,4.7,164678
3 Series,Sedan,Petrol,Manual,2.8,137794
X1,SUV,Diesel,Manual,4,87263
i3,Electric Hatchback,Diesel,Manual,4.9,86785
X3,SUV,Petrol,Manual,2,156944
M5,Performance Sedan,Diesel,Automatic,4.5,39593
X5,SUV,Diesel,Automatic,3,162617
i3,Electric Hatchback,Diesel,Manual,4.1,180348
X1,SUV,Electric,Manual,2.5,97558
3 Series,Sedan,Diesel,Manual,2.7,124960
X6,SUV-Coupe,Electric,Manual,1.6,28972
X5,SUV,Petrol,Automatic,4.9,141616
i3,Electric Hatchback,Diesel,Manual,4.3,42089
X5,SUV,Diesel,Manual,1.8,102510
X1,SUV,Petrol,Automatic,5,64144
5 Series,Sedan,Hybrid,Automatic,3.6,166252
X5,SUV,Petrol,Manual,4.5,106246
X1,SUV,Petrol,Manual,1.7,25059
M3,Performance Sedan,Hybrid,Manual,2.9,49603
i3,Electric Hatchback,Hybrid,Manual,3.8,134173
i3,Electric Hatchback,Petrol,Manual,1.9,42153
i3,Electric Hatchback,Hybrid,Automatic,3.2,136858
X6,SUV-Coupe,Hybrid,Manual,3,199006
3 Series,Sedan,Electric,Automatic,2.3,190156
X6,SUV-Coupe,Petrol,Automatic,2.6,160714
5 Series,Sedan,Petrol,Manual,4.9,128242
7 Series,Sedan,Hybrid,Automatic,2.5,40052
i8,Hybrid Sports Car,Petrol,Manual,2.2,126505
i8,Hybrid Sports Car,Hybrid,Automatic,3.4,149450
i8,Hybrid Sports Car,Diesel,Manual,3.8,164473
5 Series,Sedan,Electric,Automatic,4,9951
3 Series,Sedan,Hybrid,Automatic,4.1,146359
i8,Hybrid Sports Car,Diesel,Manual,1.6,76908
X6,SUV-Coupe,Petrol,Automatic,2.9,167411
X5,SUV,Diesel,Manual,4.2,48241
X3,SUV,Petrol,Automatic,4.7,95070
7 Series,Sedan,Electric,Automatic,3.6,182618
X3,SUV,Hybrid,Automatic,1.7,158566
i8,Hybrid Sports Car,Hybrid,Manual,2.9,32573
X1,SUV,Diesel,Automatic,1.8,138433
7 Series,Sedan,Diesel,Manual,4.1,30215
i8,Hybrid Sports Car,Electric,Manual,1.7,67114
3 Series,Sedan,Diesel,Manual,2.2,154736
5 Series,Sedan,Electric,Automatic,3,121611
M3,Performance Sedan,Petrol,Manual,3.1,74067
X5,SUV,Hybrid,Manual,2.9,110631
3 Series,Sedan,Petrol,Automatic,3.1,187396
i3,Electric Hatchback,Petrol,Automatic,4,174519
X6,SUV-Coupe,Petrol,Automatic,2.8,36327
3 Series,Sedan,Electric,Manual,3.4,144332
5 Series,Sedan,Electric,Manual,2.6,163437
i8,Hybrid Sports Car,Hybrid,Manual,2.7,111872
X1,SUV,Hybrid,Manual,3.6,4768
X3,SUV,Electric,Manual,3.2,84155
X6,SUV-Coupe,Petrol,Manual,4,142408
X1,SUV,Hybrid,Automatic,3.5,117990
M5,Performance Sedan,Diesel,Manual,4.3,57377
i8,Hybrid Sports Car,Petrol,Manual,3.1,136263
X1,SUV,Diesel,Manual,3.2,112416
3 Series,Sedan,Hybrid,Manual,3.8,110051
7 Series,Sedan,Electric,Manual,2.3,179767
X5,SUV,Diesel,Manual,2.9,124134
M5,Performance Sedan,Petrol,Automatic,3.7,124564
X5,SUV,Electric,Manual,1.6,6634
i3,Electric Hatchback,Hybrid,Automatic,3,81603
X6,SUV-Coupe,Hybrid,Automatic,3.6,97667
7 Series,Sedan,Diesel,Manual,4.9,109291
M3,Performance Sedan,Diesel,Automatic,4.6,106672
M5,Performance Sedan,Petrol,Automatic,2.5,41594
i3,Electric Hatchback,Hybrid,Manual,3.3,95364
M5,Performance Sedan,Diesel,Manual,1.7,71227
X1,SUV,Petrol,Automatic,2.3,26767
i3,Electric Hatchback,Hybrid,Automatic,4.2,27979
M5,Performance Sedan,Petrol,Automatic,1.9,170073
X5,SUV,Hybrid,Automatic,2.4,23577
3 Series,Sedan,Electric,Automatic,4.8,121155
X1,SUV,Diesel,Manual,4.4,148730
M3,Performance Sedan,Hybrid,Manual,4.2,80410
X3,SUV,Petrol,Manual,4.5,35380
X6,SUV-Coupe,Electric,Manual,4.1,183126
X5,SUV,Electric,Automatic,1.9,5204
X5,SUV,Hybrid,Manual,3.3,42159
X3,SUV,Petrol,Automatic,3.1,143652
X6,SUV-Coupe,Diesel,Manual,2.6,186337
i3,Electric Hatchback,Petrol,Manual,4.4,25644
5 Series,Sedan,Electric,Manual,3.1,127690
5 Series,Sedan,Electric,Manual,1.7,21122
i8,Hybrid Sports Car,Hybrid,Automatic,2.5,59781
i3,Electric Hatchback,Hybrid,Automatic,2.3,183685
7 Series,Sedan,Diesel,Manual,4.6,126540
7 Series,Sedan,Diesel,Manual,3.8,92316
X3,SUV,Diesel,Manual,3.5,6304
X6,SUV-Coupe,Hybrid,Automatic,3.3,54800
X5,SUV,Petrol,Manual,3.8,51128
i8,Hybrid Sports Car,Electric,Automatic,4.1,86794
X1,SUV,Hybrid,Automatic,3.4,15994
i8,Hybrid Sports Car,Diesel,Manual,4.8,89921
X3,SUV,Hybrid,Automatic,4.9,110369
3 Series,Sedan,Electric,Automatic,5,69854
X3,SUV,Petrol,Manual,3.8,113551
3 Series,Sedan,Petrol,Automatic,4.8,159467
M3,Performance Sedan,Hybrid,Automatic,2.9,180136
X6,SUV-Coupe,Diesel,Automatic,4.5,109348
i8,Hybrid Sports Car,Diesel,Manual,4.7,144533
X6,SUV-Coupe,Diesel,Manual,4.7,32173
5 Series,Sedan,Diesel,Automatic,4.4,102278
M3,Performance Sedan,Hybrid,Manual,2.9,162609
M5,Performance Sedan,Hybrid,Automatic,2.1,43892
7 Series,Sedan,Diesel,Automatic,2.7,185870
5 Series,Sedan,Diesel,Automatic,4.2,134531
5 Series,Sedan,Hybrid,Manual,2.3,194391
3 Series,Sedan,Hybrid,Automatic,3.2,118028
i3,Electric Hatchback,Diesel,Manual,3.5,155164
i3,Electric Hatchback,Electric,Automatic,3.6,167951
3 Series,Sedan,Hybrid,Manual,4.8,135680
M3,Performance Sedan,Petrol,Manual,3.8,20833
X5,SUV,Diesel,Automatic,4.3,169423
M5,Performance Sedan,Diesel,Manual,3.5,52191
5 Series,Sedan,Electric,Automatic,4.4,82062
5 Series,Sedan,Petrol,Manual,2.4,181200
X1,SUV,Hybrid,Automatic,2.2,16720
M3,Performance Sedan,Hybrid,Manual,4.7,26402
i3,Electric Hatchback,Diesel,Manual,3.9,185012
i8,Hybrid Sports Car,Electric,Automatic,3.9,137116
M3,Performance Sedan,Electric,Automatic,3.1,125303
M3,Performance Sedan,Diesel,Automatic,2.8,72907
5 Series,Sedan,Diesel,Manual,3.4,96313
X6,SUV-Coupe,Electric,Manual,1.9,114324
X3,SUV,Electric,Automatic,3.1,37926
X3,SUV,Diesel,Automatic,3.1,1536
i8,Hybrid Sports Car,Hybrid,Automatic,3.4,58700
7 Series,Sedan,Diesel,Manual,3.7,33111
3 Series,Sedan,Diesel,Manual,4.9,154711
i8,Hybrid Sports Car,Petrol,Manual,3.8,145740
X6,SUV-Coupe,Hybrid,Manual,4.6,17763
i8,Hybrid Sports Car,Diesel,Automatic,3.4,158596
X1,SUV,Electric,Automatic,3.7,70582
5 Series,Sedan,Petrol,Manual,1.7,164685
M5,Performance Sedan,Petrol,Manual,2,32207
i8,Hybrid Sports Car,Hybrid,Manual,3.5,36421
M5,Performance Sedan,Petrol,Automatic,2.9,109953
3 Series,Sedan,Hybrid,Manual,4.3,45420
7 Series,Sedan,Hybrid,Automatic,3.4,169022
X3,SUV,Diesel,Automatic,4.6,71247
X1,SUV,Electric,Automatic,4.9,133987
X5,SUV,Diesel,Manual,2,54511
X1,SUV,Electric,Manual,2.9,190036
X6,SUV-Coupe,Electric,Manual,3.8,11344
M5,Performance Sedan,Petrol,Automatic,2.6,166487
5 Series,Sedan,Petrol,Automatic,2.4,121797
M5,Performance Sedan,Hybrid,Automatic,4.3,124001
i3,Electric Hatchback,Diesel,Automatic,4.9,40442
i3,Electric Hatchback,Electric,Manual,4.2,2005
7 Series,Sedan,Hybrid,Manual,3.3,194029
X6,SUV-Coupe,Petrol,Manual,3,169730
X5,SUV,Petrol,Manual,3.4,82598
i8,Hybrid Sports Car,Petrol,Automatic,3.1,182742
X3,SUV,Hybrid,Automatic,3.3,26890
X3,SUV,Hybrid,Automatic,2.2,59103
X3,SUV,Electric,Manual,4.7,1390
i8,Hybrid Sports Car,Diesel,Automatic,4.1,5405
3 Series,Sedan,Hybrid,Manual,3.9,42467
X6,SUV-Coupe,Diesel,Manual,4.8,35394
X5,SUV,Hybrid,Manual,2.5,36527
i3,Electric Hatchback,Petrol,Automatic,1.8,126567
3 Series,Sedan,Electric,Automatic,4.4,3879
X1,SUV,Diesel,Automatic,5,37731
X5,SUV,Petrol,Manual,3.5,31445
3 Series,Sedan,Diesel,Automatic,1.7,176625
3 Series,Sedan,Hybrid,Automatic,4.2,154571
5 Series,Sedan,Electric,Manual,1.8,28199
7 Series,Sedan,Electric,Manual,3.4,157901
X3,SUV,Hybrid,Automatic,2.5,114886
X6,SUV-Coupe,Petrol,Manual,4.7,10561
M3,Performance Sedan,Hybrid,Automatic,3.1,108903
i8,Hybrid Sports Car,Electric,Automatic,4.6,144778
i8,Hybrid Sports Car,Diesel,Automatic,2.5,129520
7 Series,Sedan,Hybrid,Manual,2.9,16841
M3,Performance Sedan,Hybrid,Manual,4.8,183782
7 Series,Sedan,Electric,Automatic,2.2,91013
7 Series,Sedan,Diesel,Manual,3.5,175240
i8,Hybrid Sports Car,Petrol,Automatic,2.9,122500
7 Series,Sedan,Hybrid,Automatic,4.2,179716
7 Series,Sedan,Electric,Automatic,2,176437
X3,SUV,Electric,Automatic,3,159170
7 Series,Sedan,Electric,Automatic,3.9,166155
M5,Performance Sedan,Hybrid,Manual,2.9,33669
7 Series,Sedan,Petrol,Manual,1.7,56052
X6,SUV-Coupe,Electric,Automatic,4,53449
i8,Hybrid Sports Car,Hybrid,Automatic,3.3,123239
X5,SUV,Diesel,Automatic,1.5,56918
3 Series,Sedan,Electric,Manual,3.6,99440
i3,Electric Hatchback,Petrol,Automatic,4.7,192413
X3,SUV,Electric,Automatic,1.9,136356
X6,SUV-Coupe,Hybrid,Manual,3.6,131579
X6,SUV-Coupe,Petrol,Automatic,4.1,192233
M3,Performance Sedan,Electric,Automatic,1.7,119960
X6,SUV-Coupe,Electric,Automatic,1.6,129451
X5,SUV,Diesel,Automatic,3.1,13371
X5,SUV,Hybrid,Automatic,4.3,78733
X1,SUV,Diesel,Automatic,2.1,199235
i3,Electric Hatchback,Electric,Manual,4.4,25251
X5,SUV,Electric,Manual,3.8,50183
